,state,constituency,won status,votes,(votes),Name,Party Name
4021,Himachal Pradesh,KANGRA(1),won,632793,(+ 251895),DR RAJEEV BHARDWAJ,Bharatiya Janata Party
4032,Tripura,Tripura West(1),won,881341,(+ 611578),BIPLAB KUMAR DEB,Bharatiya Janata Party
4042,Uttarakhand,Nainital-Udhamsingh Nagar(4),won,772671,(+ 334548),AJAY BHATT,Bharatiya Janata Party
4053,Uttarakhand,Almora(3),won,429167,(+ 234097),AJAY TAMTA,Bharatiya Janata Party
4061,Uttarakhand,Garhwal(2),won,432159,(+ 163503),ANIL BALUNI,Bharatiya Janata Party
4075,Uttarakhand,Tehri Garhwal(1),won,462603,(+ 272493),MALA RAJYA LAKSHMI SHAH,Bharatiya Janata Party
4087,Punjab,Firozpur(10),won,266626,(+ 3242),SHER SINGH GHUBAYA,Indian National Congress
4117,Punjab,Fatehgarh Sahib(8),won,332591,(+ 34202),AMAR SINGH,Indian National Congress
4132,Rajasthan,BARMER(17),won,704676,(+ 118176),UMMEDA RAM BENIWAL,Indian National Congress
4144,Rajasthan,JHALAWAR-BARAN(25),won,865376,(+ 370989),DUSHYANT SINGH,Bharatiya Janata Party
4152,Tamil Nadu,TIRUCHIRAPPALLI(24),won,542213,(+ 313094),DURAI VAIKO,Marumalarchi Dravida Munnetra Kazhagam
4188,Tamil Nadu,MADURAI(32),won,430323,(+ 209409),VENKATESAN S,Communist Party of India  (Marxist)
4210,Tamil Nadu,NAGAPATTINAM(29),won,465044,(+ 208957),SELVARAJ V,Communist Party of India
